Sex,Age,AI1,AI2,AI3,AI4,AI3,PCGPA,Failures,Reason,Test Preparation Course,Traveltime,Studytime,Medu,Fedu,Mjob,Fjob,Activities,Internet,Freetme,Absence,CGPA
M,15,67,52,55,67,55,5.11,0,other,completed,1,1,4,4,health,health,no,yes,4,0,7.76
M,16,67,69,73,67,73,8.76,0,course,none,1,2,4,2,teacher,other,yes,yes,5,2,9.56
M,16,67,55,54,67,54,6.32,0,reputation,none,2,2,2,2,other,other,yes,yes,4,0,5.67
F,15,67,38,32,67,32,7.12,0,course,completed,1,3,2,4,services,health,yes,yes,3,2,8.01
F,16,67,45,42,67,42,9,2,home,none,1,1,2,2,services,services,no,yes,2,14,6.65
M,15,67,60,56,67,56,5.98,0,home,none,1,1,2,2,other,other,no,yes,2,2,7.54
M,15,67,68,60,67,60,8.23,0,other,none,1,1,4,2,health,services,no,yes,2,4,9.23
M,16,67,89,89,67,89,6.65,0,home,none,1,2,3,4,services,other,yes,yes,3,4,5.32
M,16,67,54,51,67,51,7.43,0,home,none,1,2,4,4,teacher,teacher,yes,yes,4,16,8.65
M,15,67,79,77,67,77,9.34,0,home,none,1,2,4,4,health,services,no,yes,4,0,6.87
M,15,67,74,73,67,73,5.21,0,reputation,none,2,2,4,4,services,services,yes,yes,3,0,7.32
M,15,67,41,39,67,39,8.54,0,course,none,1,2,4,3,teacher,at_home,yes,yes,5,0,9.12
M,15,67,65,71,67,71,6.98,0,course,none,1,2,3,3,other,other,yes,yes,3,0,5.89
M,16,67,88,89,67,89,7.21,0,home,none,1,1,3,2,other,other,no,yes,4,0,8.43
F,15,67,74,74,67,74,9.67,0,other,completed,2,1,2,3,other,other,yes,no,5,0,6.54
M,15,67,77,75,67,75,5.67,0,home,none,1,3,4,3,teacher,services,yes,yes,4,2,7.65
M,16,67,65,54,67,54,8.9,0,reputation,none,2,3,4,4,other,teacher,yes,yes,4,7,9.34
F,15,67,68,73,67,73,6.01,0,course,completed,1,3,3,4,services,health,yes,yes,3,2,5.32
F,15,67,81,77,67,77,7.89,0,reputation,none,1,1,2,2,at_home,other,yes,no,3,8,8.76
F,16,67,75,72,67,72,9.79,1,home,none,2,2,2,2,other,other,yes,yes,3,25,6.21
M,15,67,67,64,67,64,5.43,0,home,none,1,1,4,4,teacher,other,no,yes,4,8,7.98
M,15,67,79,82,67,82,8.36,0,course,none,1,2,4,4,services,teacher,yes,yes,3,2,9.12
M,15,67,70,70,67,70,6.43,0,course,completed,1,1,2,2,services,services,no,yes,4,0,5.45
F,16,67,88,87,67,87,7.65,1,course,none,2,2,2,2,other,at_home,yes,yes,3,14,8.34
F,15,67,46,51,67,51,9.12,0,course,none,1,2,4,3,other,other,yes,yes,2,8,6.43
F,16,67,63,57,67,57,5.76,0,home,completed,1,2,3,3,other,services,no,yes,3,12,7.76
M,16,67,76,78,67,78,8.14,0,reputation,none,1,4,4,3,health,services,yes,yes,2,4,9.56
M,15,67,72,73,67,73,6.87,0,home,completed,1,2,4,2,teacher,other,no,no,3,2,5.67
F,15,67,63,57,67,57,7.32,1,other,completed,1,2,4,4,services,teacher,yes,yes,4,2,8.01
F,16,67,68,64,67,64,9.23,0,course,none,3,2,2,2,services,services,no,yes,3,2,6.87
F,15,67,58,60,67,60,5.32,0,other,completed,1,2,4,2,health,other,no,yes,3,2,7.32
M,15,67,81,85,67,85,8.57,1,other,none,2,1,4,2,health,health,no,no,5,6,9.43
F,15,67,53,49,67,49,6.54,0,course,none,1,1,4,4,services,services,no,yes,3,0,5.11
F,15,67,57,47,67,47,7.12,0,other,completed,1,1,3,3,other,other,no,yes,3,6,8.76
F,16,67,60,62,67,62,9.45,0,other,none,1,2,2,1,other,other,yes,yes,3,8,6.32
F,15,67,80,84,67,84,5.98,0,reputation,completed,1,2,4,3,services,services,yes,yes,3,0,7.12
M,15,67,87,83,67,83,8.01,0,reputation,none,1,2,4,4,teacher,health,yes,no,2,4,9
M,15,67,61,51,67,51,6.65,0,home,completed,1,2,1,2,other,at_home,yes,yes,3,2,5.98
F,16,67,51,48,67,48,7.54,0,course,none,1,2,4,2,services,other,no,yes,2,2,8.23
F,16,67,66,68,67,68,9.01,0,other,completed,1,2,4,4,health,teacher,yes,no,4,6,6.65
F,16,67,63,59,67,59,5.21,0,course,none,4,1,1,1,services,services,yes,yes,5,6,7.43
F,16,67,67,62,67,62,8.79,0,reputation,none,1,2,1,2,other,services,yes,yes,4,4,9.12
F,16,67,82,78,67,78,6.32,0,home,none,1,3,4,3,teacher,health,yes,yes,4,2,5.21
F,15,67,93,97,67,97,7.43,0,reputation,none,1,2,4,3,services,services,yes,yes,4,0,8.54
F,16,67,74,70,67,70,5.89,0,course,none,3,2,4,3,teacher,services,yes,yes,4,2,6.76
M,15,67,60,56,67,56,8.14,0,reputation,none,1,4,4,4,other,services,yes,yes,3,4,7.21
F,16,67,46,49,67,49,6.43,0,course,none,1,4,3,1,services,other,no,yes,3,4,9.43
F,15,67,64,60,67,60,9.67,0,reputation,none,2,2,2,2,health,services,no,yes,1,2,5.89
F,15,67,64,57,67,57,7.54,0,reputation,none,2,4,3,1,other,other,no,yes,4,12,8.43
M,16,67,68,73,67,73,5.32,0,reputation,completed,2,4,3,1,other,other,no,yes,3,0,6.54
M,15,67,52,47,67,47,8.76,0,course,completed,1,4,4,2,other,other,no,yes,3,0,7.65
F,15,67,70,63,67,63,6.21,2,reputation,none,1,2,1,1,other,other,no,yes,3,2,9.34
M,16,67,76,81,67,81,9.23,0,reputation,none,1,1,3,1,other,other,yes,no,3,2,5.32
F,16,67,76,67,67,67,7.12,0,home,none,1,2,3,3,other,services,yes,yes,3,54,8.65
M,15,67,77,70,67,70,5.98,0,home,none,1,2,4,3,teacher,other,yes,yes,3,6,6.21
M,15,67,63,59,67,59,8.43,0,course,none,2,4,4,0,teacher,other,yes,yes,4,8,7.98
F,16,67,91,81,67,81,6.65,0,reputation,completed,1,4,2,2,other,other,no,yes,2,0,9.12
M,17,67,73,76,67,76,7.98,3,home,completed,2,1,2,1,other,other,yes,yes,5,2,5.45
F,16,67,43,45,67,45,9.12,0,course,none,1,2,3,4,at_home,other,no,yes,4,12,8.34
M,15,67,59,62,67,62,5.21,0,course,none,1,1,2,3,other,services,yes,yes,2,2,6.43
M,15,67,38,42,67,42,8.54,0,home,none,1,3,2,3,other,other,no,yes,3,4,7.76
F,15,67,59,59,67,59,6.87,0,reputation,completed,1,2,3,2,services,other,no,yes,4,10,9.56
M,15,67,76,73,67,73,7.32,0,home,none,2,2,2,2,services,services,yes,yes,3,4,5.67
F,15,67,41,39,67,39,9.45,0,home,none,1,2,1,1,other,other,yes,yes,3,2,8.01
F,15,67,71,69,67,69,5.76,2,reputation,none,2,2,4,4,services,services,no,yes,4,6,6.87
F,16,67,76,69,67,69,8.01,0,course,none,1,2,2,2,at_home,other,no,no,3,4,7.32
F,15,67,93,88,67,88,6.54,0,reputation,none,1,3,4,2,other,other,yes,yes,3,4,9.12
M,16,67,52,61,67,61,7.76,1,reputation,none,2,2,2,2,services,other,yes,yes,4,12,5.11
M,16,67,76,72,67,72,9.34,0,reputation,none,1,2,4,4,teacher,health,no,no,1,18,8.76
F,16,67,47,42,67,42,5.43,0,home,none,1,3,3,3,other,other,no,yes,3,0,6.32
F,15,67,71,70,67,70,8.9,0,reputation,none,1,1,4,3,services,other,yes,yes,5,4,7.12
F,16,67,81,87,67,87,6.32,0,home,none,1,2,3,1,other,other,no,no,3,4,9
F,16,67,87,93,67,93,7.43,0,home,completed,2,2,4,2,teacher,services,yes,yes,3,0,5.98
M,15,67,73,72,67,72,9,0,reputation,none,1,4,2,2,services,health,yes,yes,3,6,8.23
F,15,67,63,67,67,67,5.65,1,home,completed,2,4,1,1,at_home,other,yes,yes,1,2,6.65
M,16,67,100,100,67,100,8.36,0,reputation,completed,2,1,4,3,services,other,yes,yes,3,2,7.43
F,16,67,52,49,67,49,6.43,0,course,completed,1,2,2,1,other,other,no,no,3,2,9.12
F,16,67,50,49,67,49,7.65,0,reputation,none,1,1,4,4,other,other,yes,yes,3,6,5.21
F,16,67,54,53,67,53,9.12,0,course,none,1,3,4,3,other,at_home,no,yes,3,0,8.54
M,16,67,61,62,67,62,5.98,0,other,none,1,1,4,4,services,services,yes,yes,5,14,6.76
M,16,67,78,79,67,79,8.23,0,other,completed,1,3,4,4,services,teacher,yes,yes,4,0,7.21
M,15,67,78,77,67,77,6.76,0,course,none,1,1,4,4,services,other,yes,yes,3,4,9.43
F,15,67,67,67,67,67,7.21,0,home,completed,2,2,3,2,services,other,no,yes,3,26,5.89
M,15,67,58,58,67,58,9.34,0,course,completed,1,2,3,4,services,other,yes,yes,4,0,8.43
F,15,67,78,82,67,82,5.32,0,reputation,none,1,4,3,3,other,health,no,no,3,10,6.54
F,15,67,74,73,67,73,8.65,0,course,none,1,4,2,2,other,other,no,yes,1,8,7.65
M,16,67,38,44,67,44,6.21,0,home,completed,1,3,3,3,services,other,yes,yes,3,2,9.34
M,15,67,78,71,67,71,7.98,0,home,none,4,4,4,4,other,other,yes,yes,3,6,5.32
F,16,67,33,33,77,33,9.12,0,other,none,1,3,4,4,health,health,yes,yes,4,4,8.65
M,15,67,88,86,83,86,5.45,0,course,completed,1,1,4,4,teacher,teacher,yes,yes,5,6,6.21
F,16,67,52,47,62,47,8.34,1,reputation,none,1,3,3,3,services,other,yes,yes,1,0,7.98
F,16,67,82,71,71,71,6.43,1,home,none,1,2,2,2,at_home,other,yes,yes,1,6,9.12
M,15,67,34,33,57,33,7.76,0,course,none,1,1,4,2,teacher,other,no,yes,5,10,5.45
M,15,67,76,74,61,74,9.56,0,reputation,completed,1,2,2,1,health,services,yes,yes,4,8,8.34
M,16,67,79,76,55,76,5.67,0,course,none,1,2,4,4,teacher,teacher,yes,yes,4,2,6.43
M,15,67,61,63,100,63,8.01,0,reputation,none,2,2,4,4,other,teacher,yes,no,4,2,7.76
M,16,59,57,55,44,55,6.87,0,home,none,2,1,3,3,other,services,yes,yes,4,0,9.56
M,17,59,70,58,78,58,7.32,1,course,none,3,2,1,3,other,other,yes,yes,2,20,5.67
M,15,76,90,87,67,87,9.43,0,reputation,none,1,1,3,4,other,other,no,yes,4,6,8.01
F,15,55,71,71,79,71,5.11,0,course,completed,1,2,1,2,at_home,services,no,yes,2,2,6.87
M,15,78,87,89,66,89,8.76,0,home,completed,1,4,2,2,services,services,yes,yes,5,6,7.32
F,16,51,53,62,63,62,6.32,0,course,completed,2,2,2,4,other,health,yes,yes,2,2,9.12
M,16,41,43,45,44,45,7.12,0,course,none,1,1,4,4,health,other,yes,yes,4,18,5.11
F,16,74,78,86,64,86,9,0,home,none,1,2,2,2,other,other,no,yes,4,0,8.76
M,15,62,54,58,87,58,5.98,0,home,none,1,1,3,4,services,services,no,yes,5,0,6.32
F,15,77,71,64,95,64,8.23,0,home,none,1,2,3,4,other,other,yes,yes,3,0,7.12
F,19,45,52,45,78,45,6.65,3,course,completed,1,2,0,1,at_home,other,no,no,4,2,9
M,18,100,84,87,98,87,7.43,2,reputation,none,1,1,2,2,services,other,yes,yes,3,0,5.98
M,16,83,95,100,63,100,9.12,0,course,none,1,1,4,4,teacher,teacher,yes,yes,5,8,8.23
F,15,77,75,82,92,82,5.21,2,course,none,2,3,3,4,services,teacher,no,yes,2,0,6.65
F,15,66,70,64,75,64,8.54,0,course,completed,3,1,1,1,at_home,other,yes,yes,3,0,7.43
F,17,65,63,57,72,57,6.87,0,course,completed,1,1,2,2,other,other,no,yes,4,12,9.12
F,16,62,55,56,87,56,7.32,0,course,completed,1,1,3,4,services,other,no,yes,2,16,5.21
M,15,55,54,54,64,54,9.23,0,course,completed,4,2,3,4,at_home,teacher,no,no,3,0,8.54
F,15,73,78,69,64,69,5.32,0,course,none,1,3,4,4,services,at_home,yes,yes,3,0,6.76
M,17,73,81,76,90,76,8.57,0,course,completed,3,2,3,4,at_home,other,no,no,4,0,7.21
F,16,48,66,68,85,68,6.54,2,course,none,2,1,3,3,other,other,yes,yes,3,0,9.43
M,16,52,44,49,60,49,7.12,1,course,none,1,2,1,1,services,other,no,no,4,0,5.89
F,15,60,72,64,71,64,9.45,0,course,completed,2,1,4,4,teacher,teacher,yes,yes,3,0,8.43
M,15,68,63,57,66,57,5.76,0,course,none,2,4,4,3,teacher,services,no,yes,2,0,6.54
M,16,65,77,83,64,83,8.14,2,reputation,none,2,1,2,2,services,services,yes,yes,3,8,7.65
F,15,86,83,87,74,87,6.65,0,course,completed,1,3,4,4,teacher,services,yes,yes,2,2,9.34
F,16,55,62,60,56,60,7.54,0,course,none,1,1,1,1,at_home,at_home,no,yes,4,2,5.32
M,17,80,71,68,56,68,9.01,3,home,none,1,1,2,1,other,other,no,yes,4,0,8.65
F,15,51,57,57,53,57,5.43,0,course,none,1,2,1,1,other,services,no,yes,4,0,6.21
F,15,63,61,66,93,66,8.98,3,home,none,1,2,3,2,health,services,no,yes,3,0,7.98
F,15,60,55,46,87,46,6.32,0,course,none,1,2,1,2,at_home,other,no,yes,3,2,9.12
M,16,100,100,100,62,100,7.76,0,course,completed,1,1,4,4,teacher,teacher,no,yes,3,0,5.45
M,15,46,44,44,52,44,9.12,3,course,completed,4,1,2,1,services,other,no,yes,5,0,8.34
M,18,67,78,80,95,80,5.89,3,course,completed,1,1,1,1,other,other,no,yes,3,0,6.43
M,16,54,67,59,83,59,8.43,1,course,none,1,1,2,1,at_home,other,yes,no,4,6,7.76
F,15,63,79,76,85,76,6.54,2,reputation,completed,2,3,3,3,services,services,yes,yes,2,8,9.56
M,19,68,66,73,100,73,7.43,3,home,none,1,1,3,2,services,at_home,no,yes,5,0,5.67
F,17,54,63,58,77,58,9.34,0,course,none,1,1,4,4,other,teacher,no,no,2,0,8.01
M,15,43,44,47,61,47,5.32,0,course,completed,1,2,2,3,at_home,services,yes,no,4,2,6.87
M,17,64,64,59,65,59,8.65,0,reputation,completed,1,1,1,2,other,other,no,no,2,8,7.32
F,18,92,87,87,63,87,6.21,3,course,none,3,1,1,1,at_home,other,yes,no,2,6,9.12
M,16,82,95,93,57,93,7.98,0,course,completed,3,1,2,2,at_home,other,no,no,2,2,5.11
M,16,84,78,79,51,79,9.12,1,course,none,1,2,3,3,other,services,no,yes,5,4,8.76
M,17,84,98,97,62,97,5.45,2,course,completed,2,1,2,1,at_home,other,yes,yes,3,0,6.32
M,15,65,63,65,91,65,8.34,2,course,completed,2,2,3,2,other,other,no,yes,4,6,7.12
M,16,83,92,91,64,91,6.43,1,course,none,2,1,1,2,other,other,yes,no,4,0,9
M,17,70,75,75,49,75,7.76,0,course,none,1,1,1,3,at_home,services,no,yes,3,2,5.98
M,17,66,72,70,46,70,9.56,3,course,none,4,2,1,1,other,services,yes,no,3,0,8.23
M,16,71,87,92,57,92,5.67,1,course,completed,2,1,3,2,services,services,yes,no,5,16,6.65
M,16,66,64,58,62,58,8.01,0,course,completed,1,2,2,2,other,other,no,yes,3,4,7.43
F,16,57,64,68,63,68,6.87,0,home,completed,1,2,4,2,health,services,no,yes,2,0,9.12
F,16,86,90,93,63,93,7.32,0,home,completed,1,2,2,2,other,other,no,yes,1,0,5.21
F,16,80,85,83,54,83,9.43,0,reputation,completed,1,2,4,4,health,health,no,yes,4,0,8.54
M,16,62,60,59,64,59,5.11,2,course,completed,3,1,3,4,other,other,yes,yes,4,0,6.76
M,16,71,71,76,64,76,8.76,0,reputation,none,2,2,1,0,other,other,yes,yes,3,2,7.21
M,17,57,66,71,83,71,6.32,0,reputation,none,1,2,4,4,teacher,other,yes,yes,4,0,9.43
F,16,69,64,62,74,62,7.12,3,home,none,1,2,1,3,at_home,services,yes,yes,3,0,5.89
F,16,83,74,72,78,72,9,0,reputation,completed,2,2,3,3,other,other,yes,yes,4,4,8.43
M,17,50,56,60,78,60,5.98,0,course,completed,2,2,4,3,teacher,other,yes,yes,4,4,6.54
F,16,55,56,56,86,56,8.23,0,reputation,completed,2,2,2,2,services,other,yes,yes,4,2,7.65
M,17,55,53,51,62,51,6.65,0,reputation,completed,1,2,3,3,other,other,yes,yes,3,4,9.34
M,16,83,93,95,69,95,7.43,0,other,completed,1,1,4,2,teacher,services,yes,yes,3,10,5.32
M,17,89,87,86,88,86,9.12,0,course,completed,1,2,4,3,other,other,yes,yes,2,4,8.65
M,16,51,62,64,75,64,5.21,0,home,completed,1,2,4,3,teacher,other,yes,yes,4,10,6.21
M,16,48,52,49,66,49,8.54,0,home,none,1,2,3,3,services,other,yes,yes,2,2,7.98
F,17,84,95,89,80,89,6.76,0,reputation,none,1,2,2,4,services,services,yes,no,4,0,9.12
F,17,69,83,76,57,76,7.21,0,reputation,none,1,2,3,3,other,other,yes,yes,3,56,5.45
F,16,75,85,87,72,87,9.43,0,reputation,completed,1,2,3,2,other,other,no,yes,2,14,8.34
M,17,91,100,99,81,99,5.89,0,other,completed,1,2,3,3,services,services,yes,yes,3,12,6.43
M,16,76,100,67,59,67,8.43,0,other,none,1,1,1,2,services,services,yes,yes,3,2,7.76
M,16,63,100,59,61,59,6.54,0,course,completed,1,2,2,1,other,other,yes,yes,2,0,9.56
F,17,73,100,64,90,64,7.65,0,reputation,none,1,2,3,3,health,other,no,yes,3,6,5.67
M,17,52,100,53,69,53,9.34,0,home,none,1,2,1,2,at_home,other,no,no,1,4,8.01
F,16,58,100,53,48,53,5.32,0,course,none,1,2,2,3,services,services,no,yes,3,10,6.87
F,17,33,100,51,77,51,8.65,0,course,completed,1,2,1,1,at_home,services,yes,yes,3,0,7.32
M,17,68,100,61,94,61,6.21,0,other,none,2,2,1,2,at_home,services,yes,yes,4,12,9.12
M,16,77,100,89,69,89,7.98,0,reputation,completed,1,1,3,3,services,services,yes,yes,3,8,5.11
M,16,64,100,66,36,66,9.12,0,home,completed,2,1,2,3,other,other,no,yes,3,0,8.76
F,17,39,100,48,71,48,5.45,0,course,none,1,2,2,4,services,services,yes,yes,3,0,6.32
M,17,50,100,48,80,48,8.34,0,home,completed,1,1,4,4,services,teacher,no,yes,2,4,7.12
M,16,53,100,51,83,51,6.43,0,home,none,3,1,3,3,teacher,other,yes,yes,3,8,9
F,17,54,100,70,90,70,7.76,1,home,none,2,1,4,4,services,teacher,no,yes,2,24,5.98
F,16,74,100,65,75,65,9.56,0,reputation,none,1,2,4,4,teacher,teacher,no,yes,5,0,8.23
F,16,50,100,65,44,65,9.23,0,home,completed,1,2,4,3,health,other,yes,yes,3,2,6.65
F,16,55,100,47,74,47,6.54,0,reputation,none,1,2,2,3,other,other,yes,no,4,6,7.43
F,17,77,100,70,79,70,7.98,0,course,none,1,2,1,1,other,other,no,no,4,4,9.12
F,17,49,100,67,91,67,5.76,0,reputation,none,1,1,2,2,other,other,no,yes,3,18,5.21
F,16,66,100,82,68,82,8.45,0,reputation,none,2,4,2,2,services,services,yes,yes,3,6,8.54
F,17,77,100,75,95,75,6.32,1,home,completed,1,3,3,4,at_home,services,no,yes,4,28,6.76
F,16,74,100,84,62,84,7.12,3,course,none,1,2,3,1,services,other,no,yes,3,5,7.21
F,16,85,100,81,75,81,9.01,0,other,completed,1,2,4,3,teacher,other,yes,yes,3,10,9.43
F,16,77,100,84,84,84,5.98,0,home,none,2,1,1,1,at_home,other,no,no,3,6,5.89
F,17,64,100,66,76,66,8.76,0,reputation,none,2,3,4,3,teacher,other,yes,yes,4,6,8.43
F,19,61,100,68,64,68,6.21,0,reputation,completed,1,4,3,3,other,other,yes,yes,3,10,6.54
M,17,97,100,85,65,85,7.43,0,home,none,1,2,4,4,services,other,no,yes,3,13,7.65
F,16,66,100,70,34,70,9.56,0,reputation,none,1,2,2,2,other,other,no,yes,3,0,9.34
M,18,62,100,64,74,64,5.32,1,home,completed,1,2,2,2,services,other,yes,yes,4,15,5.32
F,17,64,100,77,52,77,8.65,0,other,completed,1,1,4,4,services,other,no,no,2,12,8.65
F,17,55,100,60,71,60,6.87,0,reputation,completed,2,2,3,2,other,other,no,yes,4,2,6.21
F,17,53,100,66,54,66,7.21,2,reputation,completed,1,2,4,3,other,other,no,yes,4,22,7.98
M,18,71,100,77,83,77,9.34,1,home,none,1,2,3,3,services,health,no,yes,2,13,9.12
F,17,66,100,68,70,68,5.11,0,home,none,2,1,2,3,at_home,other,no,no,3,3,5.45
F,17,68,100,62,67,62,8.9,0,course,completed,1,3,2,2,at_home,at_home,yes,yes,3,4,8.34
F,17,89,100,83,67,83,6.43,0,reputation,completed,2,2,2,1,at_home,services,yes,yes,2,2,6.43
F,17,65,100,74,67,74,7.65,1,reputation,none,1,3,1,1,at_home,other,yes,no,3,0,7.76
F,16,43,100,44,67,44,9.12,0,other,none,1,2,2,3,services,teacher,no,yes,3,2,9.56
M,18,79,100,83,67,83,5.76,0,home,none,2,2,2,2,other,other,no,yes,3,0,5.67
F,16,99,100,97,67,97,8.14,0,home,completed,1,3,4,4,teacher,services,yes,yes,3,0,8.01
F,18,82,100,72,67,72,6.65,1,reputation,none,1,2,3,1,other,other,yes,yes,3,16,6.87
F,17,35,100,39,67,39,7.32,0,course,none,1,2,3,2,other,other,yes,yes,3,10,7.32
M,17,61,100,73,67,73,9,0,reputation,none,1,2,2,3,services,services,no,yes,3,2,9.12
M,18,76,100,81,67,81,5.43,0,course,none,4,2,2,1,at_home,other,yes,yes,3,14,5.11
F,17,94,100,82,67,82,8.36,0,course,completed,2,3,2,1,other,other,yes,yes,2,10,8.76
F,17,75,100,78,67,78,6.32,0,reputation,none,1,2,4,3,health,other,yes,yes,2,14,6.32
M,17,81,100,70,67,70,7.54,0,course,none,2,2,2,2,other,other,yes,yes,5,4,7.12
M,17,35,100,33,67,33,9.23,0,reputation,none,1,2,4,4,teacher,teacher,yes,yes,5,14,9
M,16,76,100,72,67,72,5.98,0,reputation,none,1,2,4,4,health,other,yes,yes,2,2,5.98
M,16,58,100,82,67,82,8.01,0,home,completed,2,2,1,1,other,other,no,yes,4,18,8.23
M,16,100,100,90,67,90,6.54,0,reputation,none,2,3,3,2,at_home,other,yes,yes,3,10,6.65
M,17,53,100,64,67,64,7.76,0,home,none,1,2,2,2,other,other,yes,yes,4,4,7.43
F,16,82,100,96,67,96,9.45,0,home,completed,1,1,2,1,other,other,no,yes,5,20,9.12
F,17,76,100,64,67,64,5.67,0,course,none,3,2,2,1,at_home,services,yes,no,1,2,5.21
M,18,83,100,75,67,75,8.23,1,reputation,none,1,2,2,2,other,services,no,yes,5,0,8.54
M,17,72,100,82,67,82,6.76,0,course,completed,2,2,4,3,health,other,yes,yes,5,14,6.76
M,17,76,100,83,67,83,7.43,0,course,none,2,2,4,4,teacher,other,no,yes,3,2,7.21
M,16,66,100,58,67,58,9.67,0,course,none,1,1,4,3,teacher,other,yes,yes,4,0,9.43
M,16,63,100,63,67,63,5.21,0,course,none,1,1,4,4,services,services,yes,yes,3,0,5.89
F,18,36,100,28,67,28,8.54,0,course,none,2,3,2,1,other,other,no,yes,4,0,8.43
M,16,68,100,71,67,71,6.98,0,course,none,3,1,2,1,other,other,no,yes,3,6,6.54
M,17,40,100,42,67,42,7.21,0,course,none,2,1,2,3,other,other,no,yes,2,4,7.65
M,22,68,100,61,67,61,9.12,3,other,completed,1,1,3,1,services,services,no,yes,4,16,9.34
M,18,56,100,52,67,52,5.89,1,course,none,1,2,3,3,other,services,no,yes,3,8,5.32
M,16,74,100,80,67,80,8.43,0,other,none,1,1,0,2,other,other,no,yes,3,0,8.65
M,18,53,100,71,67,71,6.32,1,course,completed,2,1,3,2,services,other,no,yes,4,0,6.21
M,16,88,100,70,67,70,7.98,0,reputation,none,3,2,3,3,at_home,other,no,yes,3,6,7.98
M,18,67,100,61,67,61,9.34,1,other,completed,1,1,2,1,services,services,no,yes,2,4,9.12
M,16,60,100,65,67,65,5.45,0,course,none,2,1,2,1,other,other,yes,no,3,0,5.45
M,17,51,100,54,67,54,8.65,0,course,none,1,1,2,1,other,other,no,yes,4,0,8.34
M,17,53,100,59,67,59,6.54,1,course,none,2,1,1,1,health,other,yes,yes,4,2,6.43
F,17,80,100,74,67,74,7.12,0,reputation,none,1,4,4,2,teacher,services,yes,yes,2,6,7.76
M,19,69,100,67,67,67,9.56,0,reputation,completed,1,2,4,3,services,at_home,no,yes,3,12,9.56
M,18,64,100,70,67,70,5.32,0,home,none,1,2,2,1,other,other,yes,yes,2,8,5.67
F,17,80,100,89,67,89,8.76,0,course,completed,1,4,2,2,services,services,yes,yes,4,0,8.01
F,18,58,100,62,67,62,6.87,0,home,completed,1,2,4,3,services,other,no,yes,1,21,6.87
M,18,39,100,50,67,50,7.32,0,course,completed,1,2,4,3,teacher,other,no,yes,3,2,7.32
M,18,64,100,50,67,50,9.01,0,course,none,1,3,3,2,other,other,yes,no,3,1,9.12
F,17,61,100,63,67,63,5.76,0,home,none,1,3,3,3,other,other,yes,no,2,4,5.11
F,18,90,100,88,67,88,8.14,0,home,none,1,3,2,2,at_home,services,yes,yes,3,0,8.76
M,18,73,100,64,67,64,6.43,0,reputation,none,2,2,3,4,other,other,yes,yes,2,13,6.32
M,17,73,100,70,67,70,7.65,0,other,none,1,2,3,1,services,other,yes,yes,4,2,7.12
F,18,67,100,77,67,77,9.12,0,reputation,none,2,2,4,4,teacher,other,yes,yes,3,8,9
M,18,57,100,62,67,62,5.98,0,reputation,completed,1,2,4,2,health,other,yes,yes,4,10,5.98
F,18,65,100,72,67,72,8.23,0,reputation,none,2,2,2,1,other,other,no,yes,3,0,8.23
